"docid","docnumber","docdate","parent","request"
424527,"ОП-З-00376-001","2023-07-04 13:55:05.280373+03",424478,"1025201102288"
422456,"ОП-З-00321-001","2023-07-03 11:43:35.145401+03",422004,"1021900523028"
422650,"ОП-З-00316-002","2023-07-03 12:39:05.623818+03",421869,"1021200767500"
422465,"ОП-З-00327-001","2023-07-03 11:43:50.687301+03",422444,"1021301063761"
423833,"ОП-З-00365-001","2023-07-04 11:00:32.280869+03",423535,"1027501164899"
498798,"ОП-З-02482-001","2023-10-13 12:10:47.530054+03",498769,"1021500582278"
423872,"О-З-00369-001","2023-07-04 10:45:02.08682+03",423721,"1159102052317"
421834,"З-00311","2023-07-03 07:39:01.925414+03",NULL,"1022402137460"
495423,"ОП-З-02401-001","2023-10-10 08:23:25.346216+03",495402,"1020201933950"
498818,"ОП-З-02473-004","2023-10-13 12:14:18.273738+03",498328,"1024001432234"
423048,"ОП-З-00332-001","2023-07-03 16:10:18.002349+03",422825,"1026604939855"
421812,"З-00308","2023-07-03 06:28:01.727603+03",NULL,"1020400755781"
422661,"ОП-З-00314-002","2023-07-03 12:40:24.030034+03",421855,"1027000855980"
422408,"ОП-З-00306-001","2023-07-03 11:30:16.939625+03",421797,"1027501164899"
423057,"ОП-З-00338-001","2023-07-03 16:03:18.375733+03",423037,"1023801752457"
422742,"З-00330","2023-07-03 12:49:02.01818+03",NULL,"1026604939855"
424560,"ОП-З-00373-001","2023-07-04 14:27:51.353273+03",424267,"1025100804453"
422004,"З-00321","2023-07-03 09:35:02.192746+03",NULL,"1021900523028"
422835,"ОП-З-00278-002","2023-07-03 13:05:14.270427+03",420862,"1026605402394"
423412,"О-З-00304-001","2023-07-04 02:43:02.274115+03",421783,"1097901000890"
422797,"О-З-00278-001","2023-07-03 12:59:01.982068+03",420862,"1026605402394"
423823,"ОП-З-00351-001","2023-07-04 10:40:43.13265+03",423377,"1024001186483"
422674,"ОП-З-00274-003","2023-07-03 12:41:35.733624+03",420833,"1022401793248"
423007,"ОП-З-00240-002","2023-07-03 15:02:45.298165+03",420201,"1023900599359"
423113,"ОП-З-00335-001","2023-07-03 16:24:03.543033+03",422948,"1028301647032"
422778,"О-З-00247-001","2023-07-03 12:56:02.762918+03",420283,"1026604939855"
422860,"ОП-З-00323-001","2023-07-03 13:07:39.141596+03",422283,"1026602317994"
422493,"З-00328","2023-07-03 11:50:02.568376+03",NULL,"1022200900138"
421841,"З-00312","2023-07-03 07:46:01.738003+03",NULL,"1027000855980"
423609,"ОП-З-00352-001","2023-07-04 09:35:42.69647+03",423396,"1159102052317"
423118,"З-00340","2023-07-03 16:21:01.64281+03",NULL,"1022901003861"
423695,"ОП-З-00304-002","2023-07-04 10:17:12.271703+03",421783,"1097901000890"
423253,"ОП-З-00163-008","2023-07-03 17:52:47.260917+03",417345,"1027802505279"
425999,"З-00414","2023-07-05 13:48:01.649433+03",NULL,"1022901003861"
423068,"ОП-З-00338-002","2023-07-03 16:13:08.560351+03",423037,"1023801752457"
423079,"ОП-З-00292-003","2023-07-03 16:12:17.62466+03",421076,"1024301004860"
417642,"З-00177","2023-06-28 09:51:02.487008+03",NULL,"1142722001223"
423105,"З-00339","2023-07-03 16:19:01.837662+03",NULL,"1022901003861"
427395,"З-00449","2023-07-06 11:39:01.816902+03",NULL,"1022701290116"
426365,"ОП-З-00422-001","2023-07-05 14:54:15.765323+03",426340,"1057747900143"
423585,"ОП-З-00348-001","2023-07-04 09:26:41.609524+03",423346,"1027808758669"
423028,"О-З-00292-002","2023-07-03 15:29:01.823884+03",421076,"1024301004860"
422928,"О-З-00172-004","2023-07-03 13:33:01.566042+03",417587,"1026401590610"
443622,"ОП-З-00922-001","2023-08-02 11:44:33.908327+03",443588,"1025501174885"
423152,"ОП-З-00172-006","2023-07-03 16:38:14.734922+03",417587,"1026401590610"
423346,"З-00348","2023-07-03 19:54:02.360944+03",NULL,"1027808758669"
428831,"О-З-00353-003","2023-07-07 02:05:01.465934+03",423432,"1027900510659"
423946,"ОП-З-00360-001","2023-07-04 11:02:30.781077+03",423495,"1026605402394"
424301,"ОП-З-00348-003","2023-07-04 12:36:14.901863+03",423346,"1027808758669"
424667,"ОП-З-00202-002","2023-07-04 14:34:01.760255+03",418507,"1026605402394"
423166,"ОП-З-00252-003","2023-07-03 16:40:46.715262+03",420555,"1035607500224"
441989,"О-З-00810-003","2023-07-31 10:32:01.783292+03",440229,"1027802496732"
416955,"З-00154","2023-06-27 16:19:02.062742+03",NULL,"1022601976154"
422217,"ОП-З-00303-001","2023-07-03 10:48:41.616672+03",421776,"1097901000890"
423630,"ОП-З-00356-001","2023-07-04 09:43:57.389153+03",423456,"1022800711779"
422444,"З-00327","2023-07-03 11:36:01.428721+03",NULL,"1021301063761"
423456,"З-00356","2023-07-04 04:55:01.556805+03",NULL,"1022800711779"
423518,"З-00363","2023-07-04 08:26:01.798329+03",NULL,"1024800833628"
418507,"З-00202","2023-06-28 15:55:02.107277+03",NULL,"1026605402394"
464445,"ОП-З-01583-002","2023-09-06 15:47:21.387317+03",464371,"1023402984373"
424325,"О-З-00335-005","2023-07-04 12:42:02.471513+03",422948,"1028301647032"
423792,"ОП-З-00367-001","2023-07-04 10:29:43.711192+03",423700,"1025100804453"
428274,"ОП-З-00456-002","2023-07-06 14:40:31.96933+03",427664,"1034316545064"
423744,"ОП-З-00335-002","2023-07-04 10:25:31.999099+03",422948,"1028301647032"
437176,"ОП-З-00722-001","2023-07-19 08:58:57.272565+03",437133,"1034205010729"
448125,"ОП-З-01074-001","2023-08-16 11:00:37.205356+03",448101,"1022301215947"
423649,"З-00366","2023-07-04 09:52:02.298112+03",NULL,"1209200005486"
423488,"З-00359","2023-07-04 07:14:01.439485+03",NULL,"1026605402394"
423940,"ОП-З-00364-001","2023-07-04 11:14:16.2558+03",423525,"1027501164899"
438706,"ОП-З-00754-001","2023-07-20 13:43:31.644038+03",438695,"1022900521786"
431982,"ОП-З-00558-001","2023-07-11 13:09:43.433004+03",431795,"1034700559475"
423751,"ОП-З-00369-001","2023-07-04 10:23:01.701246+03",423721,"1159102052317"
510954,"ОП-З-02820-001","2023-11-07 09:55:53.975124+03",510835,"1025401011680"
424033,"ОП-З-00369-002","2023-07-04 11:16:33.362476+03",423721,"1159102052317"
444782,"ОП-З-00972-001","2023-08-04 14:13:22.586312+03",444738,"1160726050803"
435336,"ОП-З-00658-003","2023-07-17 15:41:27.61537+03",435114,"1072130006740"
434279,"ОП-З-00569-011","2023-07-14 11:11:45.48618+03",432320,"1202100006239"
424465,"О-З-00332-003","2023-07-04 13:24:02.453705+03",422825,"1026604939855"
422235,"ОП-З-00304-001","2023-07-03 10:55:25.510019+03",421783,"1097901000890"
423385,"О-З-00335-001","2023-07-03 22:59:02.220492+03",422948,"1028301647032"
416734,"З-00148","2023-06-27 15:42:02.407354+03",NULL,"1023302752472"
423700,"З-00367","2023-07-04 10:08:01.593578+03",NULL,"1025100804453"
420262,"З-00245","2023-06-30 08:19:01.742111+03",NULL,"1027501164899"
423679,"ОП-З-00303-002","2023-07-04 10:00:19.592893+03",421776,"1097901000890"
435544,"ОП-З-00672-001","2023-07-17 16:06:45.694319+03",435506,"1021100528240"
534502,"ОП-З-03500-001","2023-12-26 17:44:25.187986+03",534491,"1033600044070"
449452,"ОП-З-01020-003","2023-08-17 15:39:36.722269+03",445917,"1027810232680"
426712,"О-З-00353-002","2023-07-06 03:16:01.616305+03",423432,"1027900510659"
424341,"ОП-З-00335-005","2023-07-04 12:51:33.140354+03",422948,"1028301647032"
442721,"ОП-З-00881-001","2023-08-01 11:12:22.61594+03",442323,"1041501903508"
426888,"ОП-З-00353-003","2023-07-06 09:44:59.948852+03",423432,"1027900510659"
424869,"ОП-З-00379-004","2023-07-04 15:26:26.721124+03",424675,"1026602317994"
423968,"ОП-З-00348-002","2023-07-04 11:08:05.439231+03",423346,"1027808758669"
424675,"З-00379","2023-07-04 14:34:02.267379+03",NULL,"1026602317994"
423892,"ОП-З-00353-001","2023-07-04 10:59:30.093242+03",423432,"1027900510659"
423952,"ОП-З-00345-001","2023-07-04 11:03:38.760633+03",423324,"1026401590786"
424320,"ОП-З-00363-002","2023-07-04 12:53:22.264527+03",423518,"1024800833628"
424369,"О-З-00332-002","2023-07-04 12:56:02.275631+03",422825,"1026604939855"
424508,"ОП-З-00332-004","2023-07-04 13:52:09.532813+03",422825,"1026604939855"
425240,"О-З-00387-001","2023-07-05 10:04:01.511499+03",424964,"1027301181984"
458405,"ОП-З-01396-002","2023-09-04 09:51:43.801164+03",458195,"1025401011680"
417814,"З-00189","2023-06-28 11:26:02.014073+03",NULL,"1025301788775"
424389,"О-З-00335-006","2023-07-04 12:59:01.796368+03",422948,"1028301647032"
429631,"ОП-З-00505-001","2023-07-07 12:58:54.220096+03",429620,"1023900599359"
424409,"ОП-З-00335-006","2023-07-04 13:05:46.055779+03",422948,"1028301647032"
429194,"З-00494","2023-07-07 10:36:02.2151+03",NULL,"1022601620513"
417206,"З-00161","2023-06-27 17:09:02.597824+03",NULL,"1034700559475"
424401,"ОП-З-00332-003","2023-07-04 13:11:28.422182+03",422825,"1026604939855"
452384,"ОП-З-01217-001","2023-08-25 11:17:09.293445+03",452306,"1051401424381"
425254,"ОП-З-00351-002","2023-07-05 10:06:59.286054+03",423377,"1024001186483"
430701,"З-00530","2023-07-10 10:44:01.67583+03",NULL,"1022401793248"
417897,"З-00191","2023-06-28 11:44:01.841972+03",NULL,"1023701393913"
426332,"ОП-З-00421-001","2023-07-05 14:47:50.874995+03",426298,"1027301181984"
425330,"О-З-00387-002","2023-07-05 10:31:02.050614+03",424964,"1027301181984"
425461,"З-00401","2023-07-05 10:57:02.21709+03",NULL,"1022200814030"
424886,"З-00385","2023-07-04 15:41:01.566753+03",NULL,"1021000843478"
420833,"З-00274","2023-06-30 16:30:06.797939+03",NULL,"1022401793248"
431461,"З-00548","2023-07-11 06:11:01.443172+03",NULL,"1026605402394"
425354,"ОП-З-00396-002","2023-07-05 10:34:19.629298+03",425185,"1022701290116"
425260,"ОП-З-00396-001","2023-07-05 10:14:14.652553+03",425185,"1022701290116"
425490,"ОП-З-00401-001","2023-07-05 11:03:08.540131+03",425461,"1022200814030"
425062,"О-З-00351-001","2023-07-04 20:34:02.642215+03",423377,"1024001186483"
424704,"О-З-00379-001","2023-07-04 14:43:02.443856+03",424675,"1026602317994"
424854,"О-З-00379-003","2023-07-04 15:19:01.797912+03",424675,"1026602317994"
424821,"О-З-00379-002","2023-07-04 15:07:02.388138+03",424675,"1026602317994"
427288,"З-00446","2023-07-06 11:17:02.032613+03",NULL,"1026401590786"
424909,"ОП-З-00384-001","2023-07-04 15:48:53.502145+03",424879,"1025203750791"
424719,"ОП-З-00379-002","2023-07-04 14:54:28.309301+03",424675,"1026602317994"
427089,"ОП-З-00441-001","2023-07-06 10:27:05.728487+03",427029,"1072130006740"
436221,"ОП-З-00700-001","2023-07-18 10:23:07.935987+03",436197,"1033500072660"
425670,"ОП-З-00225-002","2023-07-05 11:39:40.387539+03",419204,"1026604939855"
424776,"ОП-З-00381-001","2023-07-04 15:12:54.583972+03",424747,"1025201102288"
429418,"ОП-З-00501-001","2023-07-07 11:38:21.983936+03",429395,"1027739054420"
524499,"О-З-03219-006","2023-11-28 15:09:02.281655+03",524153,"1117847434990"
425288,"ОП-З-00351-003","2023-07-05 10:16:07.422043+03",423377,"1024001186483"
432951,"ОП-З-00569-007","2023-07-12 16:00:33.48941+03",432320,"1202100006239"
431536,"ОП-З-00544-001","2023-07-11 09:29:58.384109+03",431406,"1027739291580"
425475,"ОП-З-00391-001","2023-07-05 10:59:26.79893+03",425072,"1097901000890"
425376,"ОП-З-00387-003","2023-07-05 10:46:17.238608+03",424964,"1027301181984"
434172,"ОП-З-00624-001","2023-07-14 10:11:30.234881+03",433936,"1022501296520"
433367,"ОП-З-00587-003","2023-07-13 11:51:33.28725+03",433133,"1031616006025"
424934,"О-З-00384-001","2023-07-04 16:05:01.927526+03",424879,"1025203750791"
426025,"З-00416","2023-07-05 13:51:01.735181+03",NULL,"1026604939855"
428390,"ОП-З-00292-009","2023-07-06 15:17:23.918727+03",421076,"1024301004860"
425310,"О-З-00396-002","2023-07-05 10:26:01.813387+03",425185,"1022701290116"
425320,"О-З-00396-003","2023-07-05 10:28:02.062242+03",425185,"1022701290116"
419204,"З-00225","2023-06-29 11:01:02.212784+03",NULL,"1026604939855"
463155,"З-01548","2023-09-06 09:59:02.045988+03",NULL,"1020400755242"
427701,"З-00458","2023-07-06 12:31:02.351356+03",NULL,"1022701290116"
427095,"ОП-З-00439-001","2023-07-06 10:29:27.729443+03",427015,"1202100006239"
425496,"ОП-З-00392-001","2023-07-05 11:01:32.744076+03",425088,"1027900510659"
443053,"ОП-З-00881-002","2023-08-01 12:52:42.730689+03",442323,"1041501903508"
425504,"З-00402","2023-07-05 11:03:01.516121+03",NULL,"1026401590786"
425720,"ОП-З-00406-001","2023-07-05 11:42:06.199292+03",425647,"1025702657298"
464051,"З-01573","2023-09-06 15:03:02.086147+03",NULL,"1033301806537"
427714,"ОП-З-00457-001","2023-07-06 12:34:55.849556+03",427693,"1027802505279"
426268,"ОП-З-00409-001","2023-07-05 14:32:30.666015+03",425764,"1025702657298"
427107,"ОП-З-00441-002","2023-07-06 10:32:34.147979+03",427029,"1072130006740"
425855,"О-З-00339-001","2023-07-05 13:11:02.292943+03",423105,"1022901003861"
436563,"ОП-З-00703-003","2023-07-18 12:05:40.069342+03",436281,"1159102052317"
425431,"З-00399","2023-07-05 10:49:02.034607+03",NULL,"1021000843478"
428156,"З-00472","2023-07-06 14:13:01.418265+03",NULL,"1060814074595"
426064,"О-З-00412-001","2023-07-05 13:59:01.688795+03",425919,"1025500990085"
426194,"ОП-З-00399-003","2023-07-05 14:20:46.462165+03",425431,"1021000843478"
436053,"ОП-З-00690-001","2023-07-18 09:18:54.090004+03",435971,"1036300667534"
437815,"О-З-00738-001","2023-07-19 16:07:01.974622+03",437731,"1026602317994"
517655,"ОП-З-03043-001","2023-11-15 12:31:58.581663+03",517634,"1027600680469"
426283,"ОП-З-00420-001","2023-07-05 14:33:42.22624+03",426244,"1022601954715"
425943,"ОП-З-00412-001","2023-07-05 13:38:49.816996+03",425919,"1025500990085"
426165,"ОП-З-00413-001","2023-07-05 14:20:43.122025+03",425990,"1022901003861"
423644,"ОП-З-00292-004","2023-07-04 09:52:31.708121+03",421076,"1024301004860"
426143,"ОП-З-00414-001","2023-07-05 14:12:29.357132+03",425999,"1022901003861"
426274,"ОП-З-00416-001","2023-07-05 14:34:50.98523+03",426025,"1026604939855"
426413,"ОП-З-00226-002","2023-07-05 15:21:44.375387+03",419227,"1026604939855"
494235,"З-02363","2023-10-06 17:04:02.365729+03",NULL,"1024600966290"
497429,"ОП-З-01446-006","2023-10-11 17:10:01.96863+03",459634,"1025501174885"
439523,"О-З-00788-001","2023-07-21 10:35:01.774211+03",439343,"1022501296520"
430665,"ОП-З-00521-001","2023-07-10 10:35:23.721577+03",430392,"1027900510659"
426961,"ОП-З-00399-005","2023-07-06 09:56:09.405869+03",425431,"1021000843478"
419227,"З-00226","2023-06-29 11:42:02.186537+03",NULL,"1026604939855"
417345,"З-00163","2023-06-27 17:52:01.51687+03",NULL,"1027802505279"
443580,"ОП-З-00921-001","2023-08-02 11:06:17.548347+03",443569,"1021603467753"
427115,"З-00443","2023-07-06 10:36:01.880614+03",NULL,"1026700852089"
436532,"О-З-00703-002","2023-07-18 11:59:02.397773+03",436281,"1159102052317"
443041,"О-З-00881-001","2023-08-01 12:49:01.930857+03",442323,"1041501903508"
438594,"ОП-З-00738-002","2023-07-20 12:12:44.744013+03",437731,"1026602317994"
427181,"ОП-З-00163-010","2023-07-06 10:57:01.970325+03",417345,"1027802505279"
426987,"ОП-З-00431-001","2023-07-06 10:00:33.097399+03",426721,"1027501164899"
517664,"ОП-З-03042-001","2023-11-15 12:35:52.40506+03",517599,"1022301812500"
474748,"ОП-З-01882-002","2023-09-14 12:59:20.386233+03",474217,"1027501147134"
428366,"ОП-З-00451-002","2023-07-06 15:18:20.875772+03",427416,"1027100594707"
442438,"ОП-З-00886-001","2023-08-01 09:18:36.264628+03",442362,"1027501147134"
428596,"З-00478","2023-07-06 16:47:46.531182+03",NULL,"1025203750791"
427299,"ОП-З-00446-001","2023-07-06 11:27:36.985179+03",427288,"1026401590786"
427409,"З-00450","2023-07-06 11:40:01.52282+03",NULL,"1022701290116"
425039,"О-З-00163-007","2023-07-04 19:02:01.718013+03",417345,"1027802505279"
426697,"ОП-З-00429-001","2023-07-05 18:13:43.833279+03",426673,"1209200005486"
426556,"О-З-00399-002","2023-07-05 16:46:02.405292+03",425431,"1021000843478"
427543,"ОП-З-00447-002","2023-07-06 11:59:44.091934+03",427360,"1026401590786"
426614,"ОП-З-00399-004","2023-07-05 17:23:46.124712+03",425431,"1021000843478"
417628,"З-00176","2023-06-28 09:38:01.791926+03",NULL,"1025301788775"
418325,"З-00196","2023-06-28 14:42:01.47774+03",NULL,"1021000843478"
427588,"ОП-З-00453-001","2023-07-06 12:05:50.657388+03",427557,"1027808757844"
428195,"ОП-З-00472-002","2023-07-06 14:21:38.829967+03",428156,"1060814074595"
437221,"ОП-З-00726-001","2023-07-19 09:27:00.693032+03",437210,"1035802000959"
427360,"З-00447","2023-07-06 11:34:02.389631+03",NULL,"1026401590786"
427008,"З-00438","2023-07-06 10:04:02.02612+03",NULL,"1023801748761"
426764,"О-З-00355-002","2023-07-06 08:06:02.19863+03",423447,"1142722001223"
427146,"О-З-00399-004","2023-07-06 10:52:02.159771+03",425431,"1021000843478"
427015,"З-00439","2023-07-06 10:06:01.878932+03",NULL,"1202100006239"
435528,"ОП-З-00670-001","2023-07-17 16:08:03.725687+03",435440,"1027802505279"
426785,"О-З-00399-003","2023-07-06 08:43:02.05393+03",425431,"1021000843478"
427160,"ОП-З-00399-006","2023-07-06 10:54:35.091301+03",425431,"1021000843478"
427248,"ОП-З-00412-003","2023-07-06 11:13:22.188091+03",425919,"1025500990085"
427597,"З-00455","2023-07-06 12:07:01.707901+03",NULL,"1026500534796"
427610,"ОП-З-00292-006","2023-07-06 12:08:26.366395+03",421076,"1024301004860"
417830,"З-00190","2023-06-28 11:27:01.638053+03",NULL,"1025100804453"
418713,"З-00210","2023-06-29 06:26:02.208793+03",NULL,"1022401793248"
427275,"З-00445","2023-07-06 11:15:02.003228+03",NULL,"1026401590786"
419683,"З-00231","2023-06-29 15:50:01.973584+03",NULL,"1026605402394"
437201,"ОП-З-00725-001","2023-07-19 09:05:17.092354+03",437155,"1027000891246"
427632,"ОП-З-00455-001","2023-07-06 12:12:04.002242+03",427597,"1026500534796"
430825,"ОП-З-00525-002","2023-07-10 11:30:45.143307+03",430441,"1142722001223"
428204,"О-З-00456-001","2023-07-06 14:22:02.11727+03",427664,"1034316545064"
427745,"ОП-З-00459-001","2023-07-06 12:39:04.871815+03",427730,"1022701290116"
432905,"ОП-З-00569-005","2023-07-12 15:42:58.106772+03",432320,"1202100006239"
427321,"О-З-00445-001","2023-07-06 11:30:01.859002+03",427275,"1026401590786"
427515,"ОП-З-00451-001","2023-07-06 11:54:50.905535+03",427416,"1027100594707"
429679,"О-З-00510-001","2023-07-07 13:20:01.943544+03",429672,"1020100510319"
517675,"ОП-З-03006-002","2023-11-15 12:39:38.123441+03",516251,"1027806875381"
430982,"ОП-З-00537-001","2023-07-10 12:25:30.654293+03",430934,"1026401590786"
430019,"ОП-З-00456-004","2023-07-07 15:39:14.945405+03",427664,"1034316545064"
435588,"ОП-З-00668-003","2023-07-17 16:11:24.083482+03",435409,"1209200005486"
428417,"З-00474","2023-07-06 15:20:01.828184+03",NULL,"1021301063761"
415756,"З-00122","2023-06-27 08:54:01.716933+03",NULL,"1022200900138"
416583,"З-00142","2023-06-27 14:55:01.588143+03",NULL,"1027700215344"
426705,"З-00430","2023-07-05 20:59:01.936005+03",NULL,"1024001186483"
428428,"ОП-З-00474-001","2023-07-06 15:22:02.082064+03",428417,"1021301063761"
429686,"О-З-00456-002","2023-07-07 13:30:01.474281+03",427664,"1034316545064"
427933,"ОП-З-00466-001","2023-07-06 13:34:29.09051+03",427889,"1020202859819"
427557,"З-00453","2023-07-06 12:02:01.844276+03",NULL,"1027808757844"
430339,"О-З-00292-013","2023-07-09 16:24:02.063074+03",421076,"1024301004860"
427581,"ОП-З-00292-005","2023-07-06 12:07:03.827096+03",421076,"1024301004860"
428963,"ОП-З-00486-001","2023-07-07 09:32:32.45431+03",428873,"2023061577000"
484090,"ОП-З-02134-003","2023-09-27 13:12:14.359652+03",483964,"1035605503878"
427505,"О-З-00292-004","2023-07-06 11:52:02.109247+03",421076,"1024301004860"
428976,"ОП-З-00487-001","2023-07-07 09:46:21.71366+03",428881,"1022200907794"
428873,"З-00486","2023-07-07 08:49:02.177406+03",NULL,"2023061577000"
429183,"ОП-З-00461-002","2023-07-07 10:39:30.046866+03",427789,"1026604939855"
429699,"ОП-З-00508-001","2023-07-07 13:33:32.310375+03",429654,"1034316545064"
428989,"ОП-З-00355-004","2023-07-07 09:56:09.986865+03",423447,"1142722001223"
430096,"О-З-00456-004","2023-07-07 16:04:02.154497+03",427664,"1034316545064"
429295,"ОП-З-00441-006","2023-07-07 11:10:50.324574+03",427029,"1072130006740"
428234,"О-З-00292-006","2023-07-06 14:28:02.493016+03",421076,"1024301004860"
426814,"ОП-З-00355-003","2023-07-06 09:15:26.56026+03",423447,"1142722001223"
437314,"З-00730","2023-07-19 11:06:01.734145+03",NULL,"1030203921076"
427725,"ОП-З-00412-004","2023-07-06 12:36:43.211933+03",425919,"1025500990085"
428248,"ОП-З-00292-008","2023-07-06 14:39:43.636762+03",421076,"1024301004860"
429205,"ОП-З-00494-001","2023-07-07 10:39:12.60543+03",429194,"1022601620513"
428632,"ОП-З-00457-007","2023-07-10 11:21:59.617271+03",427693,"1027802505279"
435595,"ОП-З-00673-001","2023-07-17 16:11:01.77513+03",435570,"1021603467753"
429654,"З-00508","2023-07-07 13:17:02.048275+03",NULL,"1034316545064"
429820,"З-00516","2023-07-07 14:39:02.103733+03",NULL,"1027808758669"
428647,"З-00479","2023-07-06 17:06:02.59707+03",NULL,"1202100006239"
429218,"ОП-З-00491-001","2023-07-07 10:43:08.247824+03",429016,"1035607500224"
422825,"З-00332","2023-07-03 13:03:01.516512+03",NULL,"1026604939855"
427672,"О-З-00412-002","2023-07-06 12:28:01.544901+03",425919,"1025500990085"
428475,"ОП-З-00461-001","2023-07-06 15:54:43.70307+03",427789,"1026604939855"
428768,"ОП-З-00441-004","2023-07-06 18:10:44.50431+03",427029,"1072130006740"
434538,"ОП-З-00639-001","2023-07-14 15:28:55.707041+03",434527,"1020400764295"
476220,"З-01937","2023-09-15 13:15:01.621387+03",NULL,"1021500582278"
427805,"О-З-00384-002","2023-07-06 12:55:02.296568+03",424879,"1025203750791"
429231,"ОП-З-00355-005","2023-07-07 10:48:04.883634+03",423447,"1142722001223"
428748,"О-З-00441-002","2023-07-06 17:59:01.6312+03",427029,"1072130006740"
484213,"ОП-З-02136-001","2023-09-27 13:46:30.079436+03",484176,"1023301283290"
427889,"З-00466","2023-07-06 13:19:01.597659+03",NULL,"1020202859819"
444665,"З-00968","2023-08-04 13:23:02.344819+03",NULL,"1025100653687"
428308,"О-З-00451-001","2023-07-06 14:51:01.667749+03",427416,"1027100594707"
435560,"О-З-00668-002","2023-07-17 16:07:02.061079+03",435409,"1209200005486"
429236,"О-З-00441-003","2023-07-07 10:47:01.539107+03",427029,"1072130006740"
420555,"З-00252","2023-06-30 10:29:01.763378+03",NULL,"1035607500224"
429273,"О-З-00441-004","2023-07-07 11:05:01.629244+03",427029,"1072130006740"
429256,"ОП-З-00441-005","2023-07-07 10:56:16.334964+03",427029,"1072130006740"
429312,"О-З-00491-001","2023-07-07 11:17:01.863223+03",429016,"1035607500224"
445624,"ОП-З-00895-002","2023-08-08 15:21:15.711603+03",442568,"1027101415846"
427687,"ОП-З-00292-007","2023-07-06 14:03:30.489434+03",421076,"1024301004860"
430976,"ОП-З-00536-001","2023-07-10 12:19:26.144854+03",430927,"1022601974757"
428326,"ОП-З-00384-003","2023-07-06 15:03:18.442648+03",424879,"1025203750791"
434527,"З-00639","2023-07-14 15:21:01.515174+03",NULL,"1020400764295"
428637,"О-З-00441-001","2023-07-06 17:06:02.321669+03",427029,"1072130006740"
428081,"ОП-З-00470-001","2023-07-06 14:03:45.696264+03",428046,"1025203750791"
428580,"О-З-00476-002","2023-07-06 16:47:46.142708+03",428496,"1025301788775"
429906,"ОП-З-00512-001","2023-07-07 14:51:44.850932+03",429728,"1023900599359"
429034,"ОП-З-00353-004","2023-07-07 10:05:20.805088+03",423432,"1027900510659"
430629,"ОП-З-00524-001","2023-07-10 10:28:56.769205+03",430434,"1026401590786"
423432,"З-00353","2023-07-04 03:16:02.250421+03",NULL,"1027900510659"
427651,"О-З-00292-005","2023-07-06 12:20:01.539027+03",421076,"1024301004860"
429350,"З-00499","2023-07-07 11:25:01.408335+03",NULL,"1027808758669"
429918,"ОП-З-00515-001","2023-07-07 15:01:55.741255+03",429772,"1023900599359"
429044,"ОП-З-00353-005","2023-07-07 10:08:10.901978+03",423432,"1027900510659"
428559,"ОП-З-00476-001","2023-07-06 16:14:27.043274+03",428496,"1025301788775"
452313,"О-З-01217-001","2023-08-25 05:24:01.651156+03",452306,"1051401424381"
428046,"З-00470","2023-07-06 13:59:02.156976+03",NULL,"1025203750791"
428354,"О-З-00292-007","2023-07-06 15:04:01.567686+03",421076,"1024301004860"
428515,"О-З-00476-001","2023-07-06 15:53:01.493909+03",428496,"1025301788775"
429052,"ОП-З-00430-003","2023-07-07 10:08:04.051866+03",426705,"1024001186483"
429749,"О-З-00291-002","2023-07-07 14:07:01.788655+03",420957,"1027802496732"
430193,"О-З-00292-010","2023-07-07 16:45:01.834658+03",421076,"1024301004860"
430163,"О-З-00506-002","2023-07-07 16:36:02.209991+03",429640,"1025100804453"
430286,"О-З-00292-012","2023-07-07 17:34:02.283899+03",421076,"1024301004860"
430991,"О-З-00292-014","2023-07-10 12:22:01.48265+03",421076,"1024301004860"
428931,"З-00489","2023-07-07 09:20:02.345656+03",NULL,"1153668049028"
452953,"ОП-З-01235-002","2023-08-28 10:07:20.116402+03",452719,"1025601719593"
430304,"ОП-З-00292-014","2023-07-07 17:41:39.338713+03",421076,"1024301004860"
437444,"ОП-З-00731-001","2023-07-19 12:07:37.135461+03",437400,"1034316558418"
430178,"ОП-З-00506-003","2023-07-07 16:39:22.430552+03",429640,"1025100804453"
431029,"ОП-З-00292-016","2023-07-10 12:28:52.179699+03",421076,"1024301004860"
432980,"О-З-00569-007","2023-07-12 16:30:01.921911+03",432320,"1202100006239"
430799,"З-00534","2023-07-10 11:25:02.088596+03",NULL,"1027808757844"
428916,"О-З-00461-001","2023-07-07 09:10:01.720725+03",427789,"1026604939855"
433739,"ОП-З-00612-001","2023-07-13 15:26:39.247953+03",433721,"1022301812500"
432796,"ОП-З-00569-003","2023-07-12 15:06:46.213374+03",432320,"1202100006239"
489153,"ОП-З-02257-001","2023-10-03 10:00:00.309743+03",489037,"1022401359177"
436519,"О-З-00707-001","2023-07-18 11:54:01.491433+03",436410,"1022601976154"
442383,"З-00889","2023-08-01 08:14:01.885644+03",NULL,"1027501164899"
429779,"О-З-00292-008","2023-07-07 14:23:02.068813+03",421076,"1024301004860"
429930,"ОП-З-00513-001","2023-07-07 15:02:28.210428+03",429735,"1021301063761"
435879,"ОП-З-00677-002","2023-07-17 17:43:04.603056+03",435805,"1027802505279"
429792,"ОП-З-00510-001","2023-07-07 14:31:31.370265+03",429672,"1020100510319"
